player_id,team_id,general_position,minutes_played,data
0Oq6L8EgM6,NWMWlBK5lz,ST,406,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.17300000000000001, 'goals_added_above_avg': -0.096, 'count_actions': 55}, {'action_type': 'Fouling', 'goals_added_raw': 0.0173, 'goals_added_above_avg': -0.0378, 'count_actions': 21}, {'action_type': 'Interrupting', 'goals_added_raw': 0.10350000000000001, 'goals_added_above_avg': -0.034, 'count_actions': 21}, {'action_type': 'Passing', 'goals_added_raw': -0.0601, 'goals_added_above_avg': 0.0901, 'count_actions': 77}, {'action_type': 'Receiving', 'goals_added_raw': 0.6102000000000001, 'goals_added_above_avg': -0.2464, 'count_actions': 99}, {'action_type': 'Shooting', 'goals_added_raw': 0.22590000000000002, 'goals_added_above_avg': -0.0765, 'count_actions': 7}]"
0Oq6LeJ7M6,a2lqR4JMr0,CB,517,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.006500000000000001, 'goals_added_above_avg': -0.016800000000000002, 'count_actions': 49}, {'action_type': 'Fouling', 'goals_added_raw': -0.0268, 'goals_added_above_avg': 0.025400000000000002, 'count_actions': 4}, {'action_type': 'Interrupting', 'goals_added_raw': 0.1991, 'goals_added_above_avg': -0.20770000000000002, 'count_actions': 66}, {'action_type': 'Passing', 'goals_added_raw': 0.3069, 'goals_added_above_avg': 0.019200000000000002, 'count_actions': 281}, {'action_type': 'Receiving', 'goals_added_raw': 0.1287, 'goals_added_above_avg': 0.015300000000000001, 'count_actions': 198}, {'action_type': 'Shooting', 'goals_added_raw': 0.016, 'goals_added_above_avg': -0.0413, 'count_actions': 2}]"
0Oq6LgZgM6,jYQJ8EW5GR,ST,137,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.06330000000000001, 'goals_added_above_avg': 0.0893, 'count_actions': 16}, {'action_type': 'Fouling', 'goals_added_raw': 0.0004, 'goals_added_above_avg': -0.0182, 'count_actions': 2}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0188, 'goals_added_above_avg': -0.027600000000000003, 'count_actions': 2}, {'action_type': 'Passing', 'goals_added_raw': -0.0702, 'goals_added_above_avg': -0.0196, 'count_actions': 36}, {'action_type': 'Receiving', 'goals_added_raw': 0.3287, 'goals_added_above_avg': 0.0396, 'count_actions': 37}, {'action_type': 'Shooting', 'goals_added_raw': 0.1302, 'goals_added_above_avg': 0.0281, 'count_actions': 4}]"
0Oq6LpK2M6,pzeQZ6xQKw,DM,690,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.255, 'goals_added_above_avg': -0.33, 'count_actions': 112}, {'action_type': 'Fouling', 'goals_added_raw': 0.0329, 'goals_added_above_avg': 0.0345, 'count_actions': 19}, {'action_type': 'Interrupting', 'goals_added_raw': 0.1389, 'goals_added_above_avg': -0.32080000000000003, 'count_actions': 59}, {'action_type': 'Passing', 'goals_added_raw': -0.2636, 'goals_added_above_avg': -0.5086, 'count_actions': 255}, {'action_type': 'Receiving', 'goals_added_raw': 0.3149, 'goals_added_above_avg': -0.0155, 'count_actions': 221}, {'action_type': 'Shooting', 'goals_added_raw': 0.1613, 'goals_added_above_avg': -0.025, 'count_actions': 5}]"
0Oq6lyNdM6,kRQand1MKZ,CM,552,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0505, 'goals_added_above_avg': 0.0007, 'count_actions': 57}, {'action_type': 'Fouling', 'goals_added_raw': -0.050300000000000004, 'goals_added_above_avg': -0.0522, 'count_actions': 8}, {'action_type': 'Interrupting', 'goals_added_raw': 0.3427, 'goals_added_above_avg': -0.0239, 'count_actions': 37}, {'action_type': 'Passing', 'goals_added_raw': 0.23290000000000002, 'goals_added_above_avg': 0.0439, 'count_actions': 242}, {'action_type': 'Receiving', 'goals_added_raw': 0.0176, 'goals_added_above_avg': -0.2509, 'count_actions': 202}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.15560000000000002, 'count_actions': 0}]"
0Oq6wjlzQ6,0KPqjA456v,W,238,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.1648, 'goals_added_above_avg': -0.1973, 'count_actions': 41}, {'action_type': 'Fouling', 'goals_added_raw': -0.014400000000000001, 'goals_added_above_avg': -0.0383, 'count_actions': 5}, {'action_type': 'Interrupting', 'goals_added_raw': 0.149, 'goals_added_above_avg': 0.0403, 'count_actions': 19}, {'action_type': 'Passing', 'goals_added_raw': 0.013600000000000001, 'goals_added_above_avg': 0.0241, 'count_actions': 60}, {'action_type': 'Receiving', 'goals_added_raw': 0.7394000000000001, 'goals_added_above_avg': 0.44930000000000003, 'count_actions': 62}, {'action_type': 'Shooting', 'goals_added_raw': 0.1218, 'goals_added_above_avg': -0.010400000000000001, 'count_actions': 4}]"
0Oq6wmbrQ6,EKXMeX3Q64,CB,808,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.077, 'goals_added_above_avg': 0.0609, 'count_actions': 70}, {'action_type': 'Fouling', 'goals_added_raw': -0.0519, 'goals_added_above_avg': 0.0298, 'count_actions': 9}, {'action_type': 'Interrupting', 'goals_added_raw': 0.9705, 'goals_added_above_avg': 0.3346, 'count_actions': 138}, {'action_type': 'Passing', 'goals_added_raw': 0.44420000000000004, 'goals_added_above_avg': -0.0054, 'count_actions': 364}, {'action_type': 'Receiving', 'goals_added_raw': 0.0449, 'goals_added_above_avg': -0.13240000000000002, 'count_actions': 247}, {'action_type': 'Shooting', 'goals_added_raw': 0.0054, 'goals_added_above_avg': -0.084, 'count_actions': 1}]"
0Oq6wvbgQ6,0KPqjA456v,FB,109,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.013600000000000001, 'goals_added_above_avg': -0.0216, 'count_actions': 16}, {'action_type': 'Fouling', 'goals_added_raw': -0.0006000000000000001, 'goals_added_above_avg': 0.0039000000000000003, 'count_actions': 3}, {'action_type': 'Interrupting', 'goals_added_raw': 0.122, 'goals_added_above_avg': 0.052500000000000005, 'count_actions': 17}, {'action_type': 'Passing', 'goals_added_raw': 0.08370000000000001, 'goals_added_above_avg': 0.0422, 'count_actions': 63}, {'action_type': 'Receiving', 'goals_added_raw': 0.035500000000000004, 'goals_added_above_avg': 0.0078000000000000005, 'count_actions': 38}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0143, 'count_actions': 0}]"
0x5g213RM7,zeQZkL1MKw,FB,125,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0022, 'goals_added_above_avg': -0.006900000000000001, 'count_actions': 19}, {'action_type': 'Fouling', 'goals_added_raw': 0.0021000000000000003, 'goals_added_above_avg': 0.007200000000000001, 'count_actions': 2}, {'action_type': 'Interrupting', 'goals_added_raw': -0.0049, 'goals_added_above_avg': -0.0845, 'count_actions': 7}, {'action_type': 'Passing', 'goals_added_raw': 0.0718, 'goals_added_above_avg': 0.024300000000000002, 'count_actions': 93}, {'action_type': 'Receiving', 'goals_added_raw': 0.067, 'goals_added_above_avg': 0.0352, 'count_actions': 72}, {'action_type': 'Shooting', 'goals_added_raw': 0.048600000000000004, 'goals_added_above_avg': 0.0322, 'count_actions': 2}]"
0x5g2BmPM7,KAqBN0Vqbg,CB,902,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0181, 'goals_added_above_avg': 0.0001, 'count_actions': 153}, {'action_type': 'Fouling', 'goals_added_raw': -0.016, 'goals_added_above_avg': 0.0752, 'count_actions': 13}, {'action_type': 'Interrupting', 'goals_added_raw': 0.43370000000000003, 'goals_added_above_avg': -0.2762, 'count_actions': 116}, {'action_type': 'Passing', 'goals_added_raw': 0.6618, 'goals_added_above_avg': 0.16, 'count_actions': 629}, {'action_type': 'Receiving', 'goals_added_raw': 0.195, 'goals_added_above_avg': -0.0028, 'count_actions': 518}, {'action_type': 'Shooting', 'goals_added_raw': 0.0693, 'goals_added_above_avg': -0.030600000000000002, 'count_actions': 2}]"
